publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Anita Nkatha,CHRISTMAS X NEW YEARS EVE LOOOKBOOK,https://www.youtube.com/watch?v=YoqGvcoliw0,09/12/2016,385,0,29,1481487833
Anita Nkatha,BEING SINGLE AND DATING IN 2016!!!... THE DEETS,https://www.youtube.com/watch?v=1zzhk2-VCv8&t=12s,03/12/2016,1323,0,67,1481487834
Anita Nkatha,A DAY IN THE LIFE| SNAPSHOT| UNI EDITION,https://www.youtube.com/watch?v=xhKMdEFUQ-w,28/11/2016,896,1,37,1481487836
Anita Nkatha,THE KENYAN TAG!!!,https://www.youtube.com/watch?v=SDmNzRMlnOU,15/11/2016,2133,4,131,1481487838
Anita Nkatha,SISTER TAG!| PART TWO| MY FAVE ONE! HAHA|,https://www.youtube.com/watch?v=xdNotQ_XBrY,16/10/2016,3069,0,161,1481487840
Anita Nkatha,SISTER TAG!!|PART 1|HILARIOUS,https://www.youtube.com/watch?v=aXSifymUKDE,16/10/2016,4204,1,232,1481487842
Anita Nkatha,HOW TO | 3 WAYS TO EXFOLIATE DRY CRUSTY LIPS! | EASY,https://www.youtube.com/watch?v=fHzKaGtxn5s,21/09/2016,857,0,19,1481487843
Anita Nkatha,BACK TO SCHOOL BADDIE LOOKBOOK|| UNI EDITION||,https://www.youtube.com/watch?v=pBgHWUdyaok,12/09/2016,2348,2,65,1481487845
Anita Nkatha,Blindfols Makeup Challenge Ft This Is Ess,https://www.youtube.com/watch?v=QOhH2BOyJyY,09/09/2016,8240,1,103,1481487847
Anita Nkatha,"Chit Chat| Dealing with Anxiety & Panic attacks, not giving a F*kc_staying in your lane & more",https://www.youtube.com/watch?v=frfdYHWH4QM,06/09/2016,1678,0,63,1481487849
Anita Nkatha,Some Nights I just wana SLAY! | GRWM| Ladies Night Out|,https://www.youtube.com/watch?v=SQ9kG1PmDT4,30/08/2016,3932,2,92,1481487852
Anita Nkatha,EPIC FAIL! BABY SISTER DOES MY MAKEUP_|,https://www.youtube.com/watch?v=3igM9KmvwTY,25/08/2016,5618,2,201,1481487853
Anita Nkatha,I THINK I GOT SCAMMED_KYLIE LIPKITS Review x Swatch ,https://www.youtube.com/watch?v=HqUaSgM5HSo,10/08/2016,2112,2,32,1481487855
Anita Nkatha,"1AM CHRONICLES|OUR UNI ABOAD EXPERIENCE| MONEY, FRESHERS, FLATMATES_",https://www.youtube.com/watch?v=YIkMoLQNmHk,19/05/2016,1598,0,17,1481487856
Anita Nkatha,GUARANTEED GLOWING SKIN GREEN JUICE RECIPE| Easy| Delicious| Healthy| Clean Eating,https://www.youtube.com/watch?v=d6_bYrq5LXY,16/04/2016,609,1,14,1481487857
Anita Nkatha,19 RANDOM FACTS ABOUT ME!,https://www.youtube.com/watch?v=a7DLew5Cp_g,09/04/2016,2909,0,45,1481487859
Anita Nkatha,BODY SNATCHED!! NO GYM| SUMMER WORKOUT| BUMS |TUMS | LEGS,https://www.youtube.com/watch?v=-BErvuCPi3o,30/03/2016,776,0,23,1481487860
Anita Nkatha,STORYTIME| I walked into a hold up! Held at gun point! ,https://www.youtube.com/watch?v=0PPw6HkqXaA,21/03/2016,1083,0,27,1481487861
Anita Nkatha,STRESS RELIEFF| HOW TO| NIGHT ROUTINE,https://www.youtube.com/watch?v=cHSSEoLRp2c,14/01/2016,568,0,29,1481487862
Anita Nkatha,STORYTIME| I WAS BULLIED FOR 3 MONTHS!,https://www.youtube.com/watch?v=keVKCvG5V2w,09/01/2016,1947,0,50,1481487864
Anita Nkatha,Get Ready With Me: New Years Eve!,https://www.youtube.com/watch?v=B_nn-DPEd6o,29/12/2015,1827,1,45,1481487865
Anita Nkatha,CHIT CHAT | 7 things I've learned since I turned 21!,https://www.youtube.com/watch?v=_fZwgBn6aNI,04/10/2015,2766,0,76,1481487866
Anita Nkatha,My Night out Lookbook,https://www.youtube.com/watch?v=HAb88idAkaY,16/09/2015,1397,0,38,1481487869
Anita Nkatha,How to| Glowing skin|DIY Coconut Body Scrub,https://www.youtube.com/watch?v=d4l0lgIBltk,05/09/2015,3656,5,92,1481487874
