publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Bahati Nzuri,Things I Do In Art School | SCAD,https://www.youtube.com/watch?v=jtRU4TTaVW4,09/12/2016,226,0,21,1481421178
Bahati Nzuri,VLOG #3: COOKING CHICKEN FOR THE FIRST TIME,https://www.youtube.com/watch?v=DLL3pWVfZZg&t=15s,28/11/2016,671,0,56,1481421179
Bahati Nzuri,"America Meets Kenya | Part 1 | Hell's Gate, Naivasha Vlog",https://www.youtube.com/watch?v=H0XCI7D46Hk,16/10/2016,2070,1,65,1481421180
Bahati Nzuri,GRWM: Rose Gold Makeup & Heatless Bouncy Curls,https://www.youtube.com/watch?v=8s_I_dwazlQ,08/10/2016,1005,1,55,1481421182
Bahati Nzuri,Affordable Special Occasion Dresses Review | Ever-Pretty.com,https://www.youtube.com/watch?v=IYiNAyGL94k,18/09/2016,1698,1,46,1481421183
Bahati Nzuri,Get To Know Me | 25 Random Facts,https://www.youtube.com/watch?v=h6ijx-oA3tM,05/09/2016,2296,0,77,1481421184
Bahati Nzuri,Summer/Spring Lookbook | 2016,https://www.youtube.com/watch?v=vfUe9C51aa8,27/08/2016,2138,2,72,1481421185
Bahati Nzuri,PCB Hotel Disaster! | Vlog #2,https://www.youtube.com/watch?v=0Oe5OeznBN8,30/07/2016,913,0,36,1481421187
Bahati Nzuri,"Romwe FAIL | Review, Haul & Try On 2016",https://www.youtube.com/watch?v=_uF81OFYbGI,21/05/2016,76450,59,575,1481421188
Bahati Nzuri,Kenyan Tag | 2016,https://www.youtube.com/watch?v=YYd5X07qKPU&t=67s,30/04/2016,13287,4,357,1481421189
Bahati Nzuri,Skinny Chicken Avocado Pizza | Recipe,https://www.youtube.com/watch?v=kc9oaAAALvI,09/04/2016,1475,2,46,1481421190
Bahati Nzuri,How To Look Put Together Even In a Rush!,https://www.youtube.com/watch?v=hOgOWx6eLho,19/03/2016,4263,2,87,1481421191
Bahati Nzuri,Couples 123 Tag | ft. Emanuel,https://www.youtube.com/watch?v=NDfuf5Pqz4Y,09/02/2016,14885,4,217,1481421193
Bahati Nzuri,Nairobi Christmas 2015 | Vlog #1,https://www.youtube.com/watch?v=8cGT3rnvCcc,10/01/2016,4816,0,46,1481421194
Bahati Nzuri,BuzzFeed Inspired | Pizza Pasta Recipe,https://www.youtube.com/watch?v=f8BEcRgprZs,24/12/2015,1887,2,52,1481421195
Bahati Nzuri,What I Wish I Knew Before Going To College | Ep 2,https://www.youtube.com/watch?v=mNFxNc_HpWQ,07/12/2015,1486,0,31,1481421198
Bahati Nzuri,What I Wish I Knew Before Going To College | Ep 1,https://www.youtube.com/watch?v=SQfO62A6BV8,10/04/2015,3769,2,85,1481421199
