publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Esther Kazungu,These Guys | Esther Kazungu,https://www.youtube.com/watch?v=3vsJhdZP8O8,13/11/2016,278,0,31,1481491111
Esther Kazungu,Kaz and Jay Bazokizo Challenge | Esther Kazungu,https://www.youtube.com/watch?v=6zZ4pO7DlKU,06/11/2016,674,0,50,1481491112
Esther Kazungu,African Parents,https://www.youtube.com/watch?v=yjHEnkIj5nk,18/10/2016,374,0,30,1481491115
Esther Kazungu,That's NOT Social | Essy & Jojo,https://www.youtube.com/watch?v=9LaCt3IfWr8,03/10/2016,895,2,57,1481491118
Esther Kazungu,Sister Sister 2; Bloopers | Esther Kazungu,https://www.youtube.com/watch?v=Tr5Mb6394Ok,06/09/2016,436,0,28,1481491121
Esther Kazungu,Sister Sister | Esther Kazungu,https://www.youtube.com/watch?v=DaRo5QiwOQg,13/08/2016,696,0,44,1481491122
Esther Kazungu,Getting Fleeky With It | Esther Kazungu,https://www.youtube.com/watch?v=_Id-EgAi-ww,24/07/2016,656,0,51,1481491123
Esther Kazungu,KazKazini | Esther Kazungu,https://www.youtube.com/watch?v=YT6ttNSjjQ8,19/07/2016,565,0,37,1481491125
Esther Kazungu,Adventures of a Bantu Girl (Part 2) | Esther Kazungu,https://www.youtube.com/watch?v=qOnLmRPXIsI,08/07/2016,417,1,23,1481491126
Esther Kazungu,Adventures of a Bantu Girl | Esther Kazungu,https://www.youtube.com/watch?v=6DjS76oBqnI,25/06/2016,496,1,31,1481491128
Esther Kazungu,THRIFT SHOPPING TIPS WITH KAZ | Esther Kazungu,https://www.youtube.com/watch?v=NOdqlm8Ncbo,04/05/2016,930,0,77,1481491129
Esther Kazungu,Happy Easter!!!! | Esther Kazungu,https://www.youtube.com/watch?v=odoCLrEcZRo,28/03/2016,571,0,37,1481491130
Esther Kazungu,Get to know meee!!! | Esther Kazungu,https://www.youtube.com/watch?v=LhbMrEDI7Sc,05/03/2016,1048,1,80,1481491132
Esther Kazungu,Shrink Krew Dance Junction (2013),https://www.youtube.com/watch?v=hyc5HNHKN6U,25/11/2014,141,0,2,1481491133
