publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Joy Kendi,My worst kiss ever!!Grosssss..Q&A PART ONE,https://www.youtube.com/watch?v=fN8vKEk6GMc&t=359s,27/05/2016,6692,3,304,1481412517
Joy Kendi,#INSTATIPS: How I take good instagram photos.,https://www.youtube.com/watch?v=2sNjyBTTRCI,05/05/2016,14379,1,230,1481412518
Joy Kendi,My Skin care Part 2: Day and Night Time Routine,https://www.youtube.com/watch?v=UkKVXl9ZcL4,21/04/2016,15490,12,447,1481412520
Joy Kendi,My Skin Care Part 1: My Hydrafacial Experience With Adara Cosmedics,https://www.youtube.com/watch?v=jRTi4IfqOpY&t=24s,13/04/2016,7669,7,191,1481412521
Joy Kendi,HAPPY NEW YEAR: THINGS TO DITCH FOR 2016,https://www.youtube.com/watch?v=vf3u7YTmV-s,01/01/2016,6355,11,247,1481412522
Joy Kendi,OOTW: SPORTY CHIC VIBES,https://www.youtube.com/watch?v=P6qOA7GhdYU,23/07/2015,4042,5,103,1481412523
Joy Kendi,ROADTRIP VLOG: Our weekend _ MACHAKOS,https://www.youtube.com/watch?v=czeHVwSggOk,10/07/2015,5179,7,98,1481412524
Joy Kendi,MY MAKEUP ROUTINE,https://www.youtube.com/watch?v=CywkzSIKbXA,01/05/2015,20184,20,289,1481412525
Joy Kendi,Lets Shop with Kung'ara Kenya,https://www.youtube.com/watch?v=dumOrPEKz-8&t=57s,27/04/2015,7101,1,112,1481412526
Joy Kendi,Home D_cor Quickie,https://www.youtube.com/watch?v=en5Zbe22ZSY,15/04/2015,6529,5,113,1481412527
Joy Kendi,STYLE QUICKIE: Work Flow ready Style,https://www.youtube.com/watch?v=YJE1LarvCrI,16/03/2015,5386,0,67,1481412528
Joy Kendi,LIFE/BEAUTY HACKS part 1,https://www.youtube.com/watch?v=maFahjjrZWg,03/03/2015,9572,5,188,1481412529
Joy Kendi,DRESS REMIX.1 dress 3 LOOKS,https://www.youtube.com/watch?v=TpDMpP-q9K0,22/01/2015,4423,5,68,1481412530
Joy Kendi,My Travel Diary: Maasai Mara,https://www.youtube.com/watch?v=s5Ve2iCHIGo,09/01/2015,6779,3,101,1481412532
Joy Kendi,MY SEPTUM PIERCING,https://www.youtube.com/watch?v=8VeDMOtdxyo,19/12/2014,11691,4,191,1481412534
Joy Kendi,Fashion Quickie__,https://www.youtube.com/watch?v=doFPFQ-L4FE,11/12/2014,2586,0,38,1481412536
Joy Kendi,Fashion haul with Ourstylekenya,https://www.youtube.com/watch?v=wN9hr5eAFZE,27/11/2014,5712,2,76,1481412539
Joy Kendi,HOW I SHOP!! With outstylekenya,https://www.youtube.com/watch?v=_ZI1tjR0gew,20/11/2014,7365,1,95,1481412541
Joy Kendi,Lets Talk Hair (OurStyleKenya),https://www.youtube.com/watch?v=VfkwMcBkLrY,05/11/2014,5838,3,71,1481412543
Joy Kendi,MY SKIN CARE ROUTINE (OURSTYLEKENYA),https://www.youtube.com/watch?v=F73IRS1a60s&t=44s,27/10/2014,17449,6,194,1481412544
