publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Kangai Mwiti,My Makeup for the YouTube SSA Creator Awards | Eye-Focus Tutorial | Bellesa Africa,https://www.youtube.com/watch?v=A5N4KNzR1Do,29/11/2016,3701,6,284,1482260362
Kangai Mwiti,Diwali-inspired Makeup Tutorial | Bellesa Africa,https://www.youtube.com/watch?v=gKD_skk5ufQ,17/11/2016,3168,3,274,1482260370
Kangai Mwiti,The YouTube SSA Creator Awards!!! | Bellesa Africa,https://www.youtube.com/watch?v=tzGM2sOltvc,14/11/2016,1278,2,84,1482260372
Kangai Mwiti,I Went On Holiday!!! Makeup Tutorial | Bellesa Africa,https://www.youtube.com/watch?v=B6RRSlh1jok,14/10/2016,3474,10,247,1482260373
Kangai Mwiti,EASY FALL MAKEUP TUTORIAL | Bellesa Africa,https://www.youtube.com/watch?v=5t8PBYwIWWI,03/10/2016,3074,3,226,1482260374
Kangai Mwiti,GRWM: Forest Green and Gold Eyes (Layering Shadows) | Bellesa,https://www.youtube.com/watch?v=4RQtwraWFYI,26/09/2016,3496,5,313,1482260375
Kangai Mwiti,Full Face Trying Out New Products!!! | Kangai Mwiti,https://www.youtube.com/watch?v=KeoJR6pcQHk,20/09/2016,5774,6,289,1482260377
Kangai Mwiti,My Current Favorites | Bellesa Africa,https://www.youtube.com/watch?v=n2zxX9bgrWs,01/08/2016,6440,0,292,1482260378
Kangai Mwiti,Smoky Copper Eyes and Nude Lips | Bellesa Africa,https://www.youtube.com/watch?v=B19Ss4asWKE,22/07/2016,7639,18,492,1482260379
Kangai Mwiti,Burgundy and Peach for Eid!!! | Bellesa Africa,https://www.youtube.com/watch?v=r_XX6M-kuOQ,06/07/2016,11987,4,522,1482260380
Kangai Mwiti,Smoky Blue Eyeshadow for Hooded Lids (And Dealing With Death) | Bellesa Africa,https://www.youtube.com/watch?v=esdh9I52cqQ,01/07/2016,5444,11,299,1482260381
Kangai Mwiti,My Updated Eyebrow Routine for Oily Skin | Bellesa Africa,https://www.youtube.com/watch?v=I_f3D7CWtgQ,12/06/2016,17388,14,448,1482260382
Kangai Mwiti,Get Ready With Me- Smoky Glitter Eyes for Hooded Lids (Press Event) | Bellesa Africa,https://www.youtube.com/watch?v=18PCw_5PELI,02/06/2016,20635,12,541,1482260383
Kangai Mwiti,The Easiest (And Most Affordable) Eyeshadow Techinique for Any Occasion!!! | Bellesa Africa,https://www.youtube.com/watch?v=zq5LAMqrDdQ,26/05/2016,5935,4,265,1482260384
Kangai Mwiti,"My Upadated Full Foundation Routine for Oily, Blemish and Acne-Prone Skin",https://www.youtube.com/watch?v=hKk2gTxxo7c,13/05/2016,33460,21,1247,1482260385
Kangai Mwiti,Smoky Copper Lids + Glitter!!! Smoky Saturday | Bellesa Africa,https://www.youtube.com/watch?v=n92J7sUpym0,29/04/2016,4322,8,211,1482260387
Kangai Mwiti,MAC Retro Matte Liquid Lipcolour-Swatches and First Reaction!!,https://www.youtube.com/watch?v=hgggKSGp3rg,24/04/2016,22164,30,509,1482260388
