publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Mandi Sarro,Throwing Down with Windows 10 | Miss Mandi Throwdown,https://www.youtube.com/watch?v=5Qk7gaa6HJc,08/12/2016,289,0,13,1481498939
Mandi Sarro,Dine With Miss Mandi | Coke Studio Ke,https://www.youtube.com/watch?v=R4IoLYObMj8,08/12/2016,412,0,10,1481498940
Mandi Sarro,How To Make Baileys Whipping Cream | Miss Mandi Throwdown,https://www.youtube.com/watch?v=sI3ucKm8u9k,03/11/2016,983,0,51,1481498941
Mandi Sarro,How to Make Crepes | Miss Mandi Throwdown,https://www.youtube.com/watch?v=RFJuE4Asdco,20/10/2016,2029,1,71,1481498943
Mandi Sarro,Are Short Men In? Miss Mandi Vlog,https://www.youtube.com/watch?v=dLc893gB0HM,13/10/2016,4533,1,86,1481498944
Mandi Sarro,How To Make Rice w Coconut Oil | Miss Mandi Throwdown,https://www.youtube.com/watch?v=R7hoeBmvOqU,07/10/2016,2347,0,52,1481498945
Mandi Sarro,Baileys & Cinnamon Mug Cake | Miss Mandi Throwdown,https://www.youtube.com/watch?v=1kSr5s9o3dM,29/09/2016,2122,0,103,1481498946
Mandi Sarro,How To Make Chicken 3 Ways | Miss Mandi Throwdown,https://www.youtube.com/watch?v=OQhwZ-oB4uo,23/09/2016,2945,0,140,1481498947
Mandi Sarro,Favorite Spices *Updated* | Miss Mandi Throwdown,https://www.youtube.com/watch?v=wcQiknqQ0Lw,15/09/2016,1393,0,59,1481498948
Mandi Sarro,Nancie & Miss Mandi Q&A | Throwdown With Friends,https://www.youtube.com/watch?v=jPbSS_ZMeE4&t=100s,09/09/2016,5409,0,85,1481498950
Mandi Sarro,Siba Mtongana | Throwdown Conversations,https://www.youtube.com/watch?v=hEPv5bkdNHM,01/09/2016,2535,0,76,1481498951
Mandi Sarro,How To Create DIY Fabric Bottles | Throwdown With Friends,https://www.youtube.com/watch?v=VY4S7-V4sW8,25/08/2016,3933,2,122,1481498952
Mandi Sarro,How To Make Grilled Spicy Shrimp | Miss Mandi Throwdown,https://www.youtube.com/watch?v=k-uxs09aOrU,18/08/2016,952,0,46,1481498954
Mandi Sarro,How to Make Yo! Spicy Chicken | Miss Mandi Throwdown,https://www.youtube.com/watch?v=UXnOLSOXAvo,12/08/2016,1808,1,62,1481498955
Mandi Sarro,How To Make Pineapple Fried Rice | Miss Mandi Throwdown,https://www.youtube.com/watch?v=gPKM6xdNhbk,04/08/2016,2945,1,109,1481498956
Mandi Sarro,How To Make Cinnamon Garlic Soy Chicken | Miss Mandi Throwdown,https://www.youtube.com/watch?v=raaW2GeWQjU,28/07/2016,2785,3,82,1481498957
Mandi Sarro,How To Make Garlic Creamed Spinach | Miss Mandi Throwdown,https://www.youtube.com/watch?v=S-9a8FZgQpA,21/07/2016,2276,1,87,1481498959
Mandi Sarro,Hoe To Make Apple & Feta Cheese Salad | Miss Mandi Throwdown,https://www.youtube.com/watch?v=WnT51zQdiDU,14/07/2016,4403,0,122,1481498960
Mandi Sarro,How To Make Potatoes 3 Ways | Miss Mandi Throwdown,https://www.youtube.com/watch?v=0WkbcsrBp_w,07/07/2016,7430,2,175,1481498961
Mandi Sarro,Throwdown Kitchen Hacks | Miss Mandi Throwdown,https://www.youtube.com/watch?v=0B0xqwkHMxI,30/06/2016,2863,0,92,1481498962
Mandi Sarro,How To Make Parmesan Meatballs | Miss Mandi Throwndown,https://www.youtube.com/watch?v=R_8bmv-5Vl8,23/06/2016,3229,0,96,1481498963
Mandi Sarro,How to Saute Cabbage with Ginger | Miss Mandi Throwdown,https://www.youtube.com/watch?v=GCxUNeJP2jg,16/06/2016,3535,0,84,1481498967
Mandi Sarro,Miss Mandi's Father's Day Gift Ideas,https://www.youtube.com/watch?v=nxDMC5G7G1Y,13/06/2016,847,0,33,1481498968
Mandi Sarro,How To Make Coconut Curry Beans | Miss Mandi Throwdown,https://www.youtube.com/watch?v=ZtYhvCpBSgQ,26/05/2016,5468,1,107,1481498969
Mandi Sarro,How To Make Spinach & Ricotta Cannelloni | Miss Mandi Throwdown,https://www.youtube.com/watch?v=bCUqE6SttsQ,20/05/2016,1817,0,57,1481498970
Mandi Sarro,How To Make Pojo (Ndengu) | Miss Mandi Throwdown,https://www.youtube.com/watch?v=PBsmlRYPKic,12/05/2016,4254,0,93,1481498971
Mandi Sarro,How To Make Matoke in Peanut Sauce | Miss Mandi Throwdown,https://www.youtube.com/watch?v=04TIyHjqblA,08/05/2016,8044,3,128,1481498972
Mandi Sarro,Miss Mandi Throwdown X Mama Rocks Burger Collabo | Mchuzi Mix,https://www.youtube.com/watch?v=KO1MPiRLjsU,05/05/2016,2702,0,62,1481498973
Mandi Sarro,Discover Lamu Ep 6 | Lamu Tamu | Throwdown Queen Explores,https://www.youtube.com/watch?v=UVGYym8N0xI,02/05/2016,1677,0,57,1481498975
Mandi Sarro,Discover Lamu Ep 5 | Lamu Tamu | Throwdown Queen Explores,https://www.youtube.com/watch?v=QQGPnu0MmiA,28/04/2016,2052,0,53,1481498976
Mandi Sarro,Discover Lamu Ep 4 | Lamu Tamu | Throwdown Queen Explores,https://www.youtube.com/watch?v=ys_1c7mb6Sw,27/04/2016,2836,1,99,1481498977
Mandi Sarro,Discover Lamu Ep 3 | Lamu Tamu | Throwdown Queen Explores,https://www.youtube.com/watch?v=qFaHkaQ_w1g,26/04/2016,2951,1,102,1481498978
Mandi Sarro,Discover Lamu Ep 2 | Lamu Tamu | Throwdown Queen Explores,https://www.youtube.com/watch?v=bxArHCcKntQ,25/04/2016,4810,1,127,1481498979
Mandi Sarro,Discover Lamu Ep 1 | Lamu Tamu | Throwdown Queen Explores,https://www.youtube.com/watch?v=hDcmdnG4afU,24/04/2016,8442,1,261,1481498981
Mandi Sarro,How To Make A Cauliflower Broccoli Mushroom Fritata | Miss Mandi Throwdown,https://www.youtube.com/watch?v=7R03R2izF8Y,21/04/2016,2474,0,90,1481498983
Mandi Sarro,How to Make Brined & Grilled Chicken Wings | Miss Mandi Throwdown,https://www.youtube.com/watch?v=5tGdISL7Qx4,14/04/2016,4301,4,88,1481498983
Mandi Sarro,How To Make Sangria | Miss Mandi Throwdown,https://www.youtube.com/watch?v=k-aYascD2Wg,07/04/2016,2224,0,138,1481498985
Mandi Sarro,How To Make Cajun Fried Whole Fish | Miss Mandi Throwdown,https://www.youtube.com/watch?v=avoymFj_bqU,31/03/2016,4370,1,105,1481498987
Mandi Sarro,Bloopers | Miss Mandi Throwdown,https://www.youtube.com/watch?v=ngHiejNlJjY,24/03/2016,2667,1,92,1481498988
Mandi Sarro,How To Make Grilled Tamarind Gizzards | Miss Mandi Throwdoen,https://www.youtube.com/watch?v=b6tOJhITPUs,21/03/2016,2342,0,116,1481498989
Mandi Sarro,How To Make Fluffy Banana ButterMilk Pancakes | Miss Mandi Throwdown,https://www.youtube.com/watch?v=TdtZh_v9oqM,17/03/2016,5655,0,182,1481498990
Mandi Sarro,How To Make Garlic & Mized Herbs Grilled Lamb Chops | Miss Mandi Throwdown,https://www.youtube.com/watch?v=wluUfKRUZoI,10/03/2016,3321,0,107,1481498991
Mandi Sarro,How To Make Liver | Miss Mandi Throwdown,https://www.youtube.com/watch?v=pWmUSBai93o&t=71s,06/03/2016,10792,1,271,1481498992
