publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Nancie Mwai,Getting My life in Order | Nancie Mwai,https://www.youtube.com/watch?v=7HZupcKyD1E,08/12/2016,769,1,36,1481404285
Nancie Mwai,Nancie Mwai | Nov/Dec 2016 Love List,https://www.youtube.com/watch?v=KkRtQIPFoZk,06/12/2016,1155,2,77,1481404286
Nancie Mwai,Nancie Mwai | Games for Red x Best Fiends Worlds Aids Day | Ad,https://www.youtube.com/watch?v=zOZskifo9NI,02/12/2016,287,0,7,1481404288
Nancie Mwai,Nancie Mwai | Pauline Cosmetics Lipsticks Review and Swatches,https://www.youtube.com/watch?v=5aGXvaT4qaw,21/11/2016,949,2,38,1481404292
Nancie Mwai,Nancie Mwai | Making Brushes -The Basics (For Beginers),https://www.youtube.com/watch?v=C3ZD2eiXff8,10/11/2016,1765,1,66,1481404293
Nancie Mwai,Nancie Mwai | Back to Vlogging,https://www.youtube.com/watch?v=Ov-xHKHbjcw,07/11/2016,2882,1,122,1481404295
Nancie Mwai,Nancie Mwai | My 5 Favorite Lipstick Combos,https://www.youtube.com/watch?v=H0Aeba6lCC4,25/08/2016,3670,0,139,1481404296
Nancie Mwai,Nancie Mwai - 5 Minute Makeup Challenge with Muthoni Muchiri,https://www.youtube.com/watch?v=Hvj7LhBgAOk,09/08/2016,3583,1,72,1481404297
Nancie Mwai,Nancie Mwai | Dakar Senegal Vibes/Vlog,https://www.youtube.com/watch?v=-ocd70scxI0,24/07/2016,4152,0,76,1481404299
Nancie Mwai,Nancie Mwai | Wedding Guest Makeup | Soft Glam Makeup,https://www.youtube.com/watch?v=SaYEG27SNzw&t=97s,21/06/2016,3215,1,81,1481404300
Nancie Mwai,Nancie Mwai - Watch Me Beat My Face 001,https://www.youtube.com/watch?v=uBrYtni9f-A&t=153s,14/06/2016,7651,0,214,1481404301
Nancie Mwai,Nancie Mwai - BeautyClick Human Hair Review,https://www.youtube.com/watch?v=lUvDRUoDrvY,12/06/2016,1415,0,33,1481404303
Nancie Mwai,Nancie Mwai - Current Favourite Skincare Products,https://www.youtube.com/watch?v=-zKOMtkm8qk,07/06/2016,4856,2,69,1481404304
Nancie Mwai,Nancie Mwai - Gold Smokey Eye Tutorial,https://www.youtube.com/watch?v=DRo9bF67Lwc,30/05/2016,1810,1,60,1481404305
Nancie Mwai,Nancie Mwai - How To Get Clear Skin pt 1,https://www.youtube.com/watch?v=ZaEUqIptpfM&t=152s,03/05/2016,3734,0,77,1481404307
Nancie Mwai,Nancie Mwai - How To Shop Online and Ship Items To Kenya,https://www.youtube.com/watch?v=8M52hDtXu9U,26/04/2016,6624,4,193,1481404308
Nancie Mwai,Nancie Mwai - Blankets & Wine | Aloe Blacc Show Vlog,https://www.youtube.com/watch?v=N4ScgHILNNo,17/04/2016,2015,3,32,1481404309
Nancie Mwai,Nancie Mwai - What I Eat In A Day,https://www.youtube.com/watch?v=sX3iynNJ-Rk,07/04/2016,3248,2,67,1481404311
Nancie Mwai,Nancie Mwai - Easy Night Time Skincare Routine,https://www.youtube.com/watch?v=Wv38NlHynw0,23/03/2016,3970,2,114,1481404312
Nancie Mwai,Nancie Mwai - February Love List,https://www.youtube.com/watch?v=R8AlPKRFx-U,14/03/2016,2493,1,73,1481404313
Nancie Mwai,Nancie Mwai - GRWM; Fashion High Tea 2016,https://www.youtube.com/watch?v=8s-XGZZVmyI,07/03/2016,4638,2,92,1481404314
Nancie Mwai,Nancie Mwai - Vlog:Giraffe Kisses + Much More,https://www.youtube.com/watch?v=8ma6CbDYduE,01/03/2016,1592,0,56,1481404316
Nancie Mwai,Nancie Mwai - You Can't Vlog Here,https://www.youtube.com/watch?v=IrjAuEIKP9k&t=20s,23/02/2016,5061,0,91,1481404317
Nancie Mwai,Nancie Mwai - A weekend at Tsavo: Sarova Salt Lick Game,https://www.youtube.com/watch?v=8kDoKILk-0Y,18/02/2016,3431,1,89,1481404318
Nancie Mwai,Nancie Mwai - Updated Foundation Routine,https://www.youtube.com/watch?v=z-S6Z5PxdRM,14/02/2016,12409,1,265,1481404319
Nancie Mwai,Nancy Mwai - Vlog: The Struggle is Real,https://www.youtube.com/watch?v=f4hgoWQ3r8c&t=106s,08/02/2016,6027,7,75,1481404321
Nancie Mwai,Nancie Mwai -  My Current Favorite Lipsticks,https://www.youtube.com/watch?v=8a4TeU1Mj7M,28/01/2016,2889,2,122,1481404322
Nancie Mwai,Nancie Mwai - The Berry Look,https://www.youtube.com/watch?v=xGjB5hlguNQ,06/10/2014,4944,0,89,1481404323
Nancie Mwai,Nancie Mwai - Blue Smokey Eye,https://www.youtube.com/watch?v=HmiBw1PuSDo,02/10/2014,1227,0,28,1481404324
Nancie Mwai,Nancie Mwai - Green Smokey Eye With A Nude Lip,https://www.youtube.com/watch?v=9FtfSfB5Owg,18/09/2014,2216,0,63,1481404325
Nancie Mwai,Nancie Mwai - Eyebrow Tutorial,https://www.youtube.com/watch?v=l18P_6KQ-L8,14/09/2014,6718,2,81,1481404327
Nancie Mwai,Nancie Mwai - Neutral Eye With A Purple Lip,https://www.youtube.com/watch?v=vGuewX6c_Q4,11/09/2014,4441,0,85,1481404328
Nancie Mwai,Nancie Mwai - My Flawless Foundation Routine,https://www.youtube.com/watch?v=3eEn76s96lE,28/02/2014,13117,4,187,1481404329
