publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Sharon Mundia,Hilarious Voting Game | This is Ess,https://www.youtube.com/watch?v=vjrkwFrNsGk&t=12s,13/09/2016,27297,13,1625,1481419610
Sharon Mundia,Blindfolded Makeup Challenge ft. Anita | This Is Ess,https://www.youtube.com/watch?v=gTARc5F77XM,09/09/2016,10468,3,173,1481419611
Sharon Mundia,Meru Impersonations & Cutest Proposals! | Vlog | This Is Ess,https://www.youtube.com/watch?v=uK5XZRlW1Bw&t=300s,06/09/2016,28111,17,736,1481419612
Sharon Mundia,Greatest Fear & Wedding Plans | #AskEss Q&A | This Is Ess,https://www.youtube.com/watch?v=XndKc0tzQUM,01/09/2016,22275,8,668,1481419613
Sharon Mundia,Mauritius Travel Diary (2016) | This Is Ess,https://www.youtube.com/watch?v=e875Lwsq30U,08/07/2016,14756,3,488,1481419615
Sharon Mundia,Current Favorite Lipsticks | This Is Ess,https://www.youtube.com/watch?v=7Ur9FvS5xkc,26/06/2016,14114,8,532,1481419616
Sharon Mundia,Maasai Mara Travel Diary | This Is Ess,https://www.youtube.com/watch?v=M3KzC_r4VS4,02/06/2016,21464,3,428,1481419617
Sharon Mundia,"Fashion, Beauty and Home Haul | This Is Ess",https://www.youtube.com/watch?v=tUNUvqPbe04,02/06/2016,12799,4,357,1481419618
Sharon Mundia,Simple Brunch Treats you can Recreate | This Is Ess,https://www.youtube.com/watch?v=I-kaYi8PXog,18/03/2016,19110,13,615,1481419619
Sharon Mundia,Makeup and Beauty Haul | This Is Ess,https://www.youtube.com/watch?v=diuSToKAg5E,25/02/2016,19585,34,435,1481419621
Sharon Mundia,"Barcelona, Spain, Travel Snapshot | This is Ess",https://www.youtube.com/watch?v=IBanwMq2DPo,22/02/2016,5312,17,129,1481419622
Sharon Mundia,My Night Time Skin Care | This Is Ess,https://www.youtube.com/watch?v=Kux2Dj15hNA,11/02/2016,30957,12,1149,1481419624
Sharon Mundia,100 Questions No One Ever Asks | TAG,https://www.youtube.com/watch?v=VwY4wKdQLl0,04/02/2016,22208,21,482,1481419625
Sharon Mundia,Toiletry Bag Essentials + Tips ,https://www.youtube.com/watch?v=SwKu2mFiELU,28/01/2016,20965,30,765,1481419628
Sharon Mundia,5 Makeup Products | Currently Love  | This Is Ess,https://www.youtube.com/watch?v=lpoq31sDqWY,21/01/2016,22379,28,416,1481419629
Sharon Mundia,"Instabul, Turkey Vlog | Part 1",https://www.youtube.com/watch?v=AhC1MK1-ujc,10/09/2015,23595,15,339,1481419630
Sharon Mundia,Window Shopping and Blog Shoots | Vlog 1,https://www.youtube.com/watch?v=4eLZ7C9rx48,30/08/2015,29917,14,506,1481419632
Sharon Mundia,Fashion and Beauty Haul | This Is Ess,https://www.youtube.com/watch?v=je8OJvvMsWg,13/07/2015,13398,10,302,1481419633
Sharon Mundia,Ess Favorites - Volume 1,https://www.youtube.com/watch?v=CMOk8I5sSe8,21/04/2015,28865,16,388,1481419634
Sharon Mundia,Daddy Moments Happy Father's Day | This Is Ess,https://www.youtube.com/watch?v=8WhOzLTSm34,14/06/2014,16085,3,219,1481419635
Sharon Mundia,Flomar Lipstick Review Deluxe Cashmere | This Is Ess,https://www.youtube.com/watch?v=UkeFkFebltQ,03/02/2014,19558,4,132,1481419637
Sharon Mundia,5 Ways to Wear 1 White T-Shirt! | This Is Ess,https://www.youtube.com/watch?v=rSYqHjYiMPE,21/01/2014,22762,6,293,1481419638
Sharon Mundia,Hair Product Haul | This Is Ess,https://www.youtube.com/watch?v=XHhrLsO3n94,14/12/2013,20674,5,368,1481419639
Sharon Mundia,My 7 Favorite Lipsticks | This Is Ess,https://www.youtube.com/watch?v=UGd4cxhAj7c,01/12/2013,14749,1,215,1481419641
Sharon Mundia,50 Random Facts About Me Part 2 | This Is Ess,https://www.youtube.com/watch?v=ORhCJn_FJ4o,15/11/2013,25594,4,273,1481419642
Sharon Mundia,50 Random Facts About Me Part 1 | This Is Ess,https://www.youtube.com/watch?v=mExWEUKDDzw,08/11/2013,42922,15,382,1481419643
Sharon Mundia,The Classic Work Outfit | This Is Ess,https://www.youtube.com/watch?v=q0VyUpxjBfc,01/11/2013,28168,1,240,1481419644
Sharon Mundia,"This Is Sharon, Singing | This Is Ess",https://www.youtube.com/watch?v=nv_Djq7RitY,10/10/2013,17019,5,291,1481419646
Sharon Mundia,June Favourites 2013 | This is Ess,https://www.youtube.com/watch?v=1-gUpW1swLM,10/10/2013,3522,0,42,1481419647
Sharon Mundia,My Top 15 Beauty Products Under KES500 | This Is Ess,https://www.youtube.com/watch?v=GHJ4b_fK6K4,10/10/2013,42862,9,486,1481419648
Sharon Mundia,Suzie Beauty Fashion High Tea,https://www.youtube.com/watch?v=pdmpzdOnCxM,09/10/2013,2232,0,5,1481419649
Sharon Mundia,I Love_ Valentines Giveaway {CLOSED} | This Is Ess,https://www.youtube.com/watch?v=ksl13pQsX28,09/10/2013,1851,1,19,1481419650
Sharon Mundia,How to Transform Your Outfit Using Your Belt | This Is Ess,https://www.youtube.com/watch?v=Py508Dbue9c,09/10/2013,13568,2,120,1481419651
Sharon Mundia,January Favourites 2013 | This Is Ess,https://www.youtube.com/watch?v=YwyXqGCkUu4,09/10/2013,6470,1,51,1481419652
Sharon Mundia,Magnetic Nail Polish Tutorial | This Is Ess,https://www.youtube.com/watch?v=hIjVZvtGE5A,09/10/2013,2283,0,21,1481419653
Sharon Mundia,Get Ready With Me For New Year's Eve | This Is Ess,https://www.youtube.com/watch?v=9cirZUvgIoo,09/10/2013,26458,8,225,1481419655
Sharon Mundia,My Very First Video | This Is Ess,https://www.youtube.com/watch?v=-wQpqRYpvGM,09/10/2013,23694,10,309,1481419656
