publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Wanjiru Njiru,Nov Favs,https://www.youtube.com/watch?v=6YTfm5bmTy8,06/12/2016,534,0,24,1481488702
Wanjiru Njiru,My Journey||Vlog,https://www.youtube.com/watch?v=H-ejUMunH1w,29/11/2016,720,0,45,1481488704
Wanjiru Njiru,Life Hacks|Top 5 Hacks,https://www.youtube.com/watch?v=oPfEU3FFFbQ,11/11/2016,702,0,37,1481488705
Wanjiru Njiru,"Fashion favorites| Fashion, Beauty",https://www.youtube.com/watch?v=xQmFhfzbRjs,02/11/2016,1022,0,31,1481488707
Wanjiru Njiru,"SPEND THE DAY WITH ME""VLOG",https://www.youtube.com/watch?v=g4VpJ5BLQxw,24/10/2016,1280,1,47,1481488709
Wanjiru Njiru,Essy and Jojo|| Things I would tell my teenage self,https://www.youtube.com/watch?v=3P_Hd2mOiI4,10/10/2016,892,1,33,1481488711
Wanjiru Njiru,Beauty Haul and Favourites,https://www.youtube.com/watch?v=B9O2ZYsSMwo,19/07/2016,1563,2,45,1481488713
Wanjiru Njiru,Wanjiru Njiru Styles The Bomber Jacket,https://www.youtube.com/watch?v=0Gxkj6CAzJY,05/07/2016,1141,0,38,1481488715
Wanjiru Njiru,Fav Lipsticks Updates,https://www.youtube.com/watch?v=F3uPtPeOe4A,08/05/2016,1170,1,30,1481488717
Wanjiru Njiru,Get to Know me,https://www.youtube.com/watch?v=vhWkBnO3tOU,21/04/2016,1720,7,41,1481488719
Wanjiru Njiru,Thrift Haul,https://www.youtube.com/watch?v=aLdBiAuIpo4,08/04/2016,2058,5,67,1481488721
Wanjiru Njiru,Bleaching?????!!!!!??????,https://www.youtube.com/watch?v=iAfc9Tq70uI,31/03/2016,4138,10,53,1481488723
Wanjiru Njiru,Karibu to my channel!,https://www.youtube.com/watch?v=laQqbsd6IZs,23/03/2016,1320,1,37,1481488726
Wanjiru Njiru,Tarmacking,https://www.youtube.com/watch?v=lXe-Bg2kx2k,02/02/2016,1458,1,54,1481488730
Wanjiru Njiru,Surviving your 20s,https://www.youtube.com/watch?v=45ZBN3dSaYY,14/12/2015,1326,1,57,1481488732
Wanjiru Njiru,What Public Uni has taught us!,https://www.youtube.com/watch?v=GpkEEk14n5Y,19/08/2015,1754,3,65,1481488734
Wanjiru Njiru,My Favorite Lipsticks!!!!!,https://www.youtube.com/watch?v=6edSkeLdqfU,12/07/2015,1837,3,86,1481488736
